generation	compiler_binary	component_input	cmakelists_options	object_path	size	sha256
G0	./hcc	tools/bootstrap/selfhost-lexer-link.HC	no-selfhost	build/lexer09-fixedpoint/link.g0.o	2976	70879e46fa496bce0a57a7a8006a42723d81938e22753542c0aebcbfc7f57d6e
G1	./hcc-bootstrap02	tools/bootstrap/selfhost-lexer-link.HC	-DHCC_ENABLE_BOOTSTRAP02_STAGE1=ON -DBOOTSTRAP02_IDENT_OBJECT -DBOOTSTRAP06_OPERATOR_OBJECT	build/lexer09-fixedpoint/link.g1.o	2976	70879e46fa496bce0a57a7a8006a42723d81938e22753542c0aebcbfc7f57d6e
G2	./hcc-bootstrap03	tools/bootstrap/selfhost-lexer-link.HC	+ -DHCC_ENABLE_BOOTSTRAP03_STAGE2=ON -DBOOTSTRAP03_IDENT_OBJECT_STAGE1 -DBOOTSTRAP06_OPERATOR_OBJECT_STAGE1	build/lexer09-fixedpoint/link.g2.o	2976	70879e46fa496bce0a57a7a8006a42723d81938e22753542c0aebcbfc7f57d6e
G3	./hcc-bootstrap04	tools/bootstrap/selfhost-lexer-link.HC	+ -DHCC_ENABLE_BOOTSTRAP04_STAGE3=ON -DBOOTSTRAP04_IDENT_OBJECT_STAGE2 -DBOOTSTRAP06_OPERATOR_OBJECT_STAGE2	build/lexer09-fixedpoint/link.g3.o	2976	70879e46fa496bce0a57a7a8006a42723d81938e22753542c0aebcbfc7f57d6e
