ACT_SELFHOST_LEXER02_DIRECT_DIFF_CASES=89
OK   err_hex_with_e kind=1/1 end=4/4 i64=0xfe/0xfe f64=0x0000000000000000/0x0000000000000000 ishex=1/1 err=0/0 slen=4/4
OK   err_two_dots kind=4/4 end=0/0 i64=0x0/0x0 f64=0x0000000000000000/0x0000000000000000 ishex=0/0 err=1/1 slen=0/0
OK   err_two_e_letters kind=4/4 end=0/0 i64=0x0/0x0 f64=0x0000000000000000/0x0000000000000000 ishex=0/0 err=1/1 slen=0/0
OK   err_two_x_letters kind=4/4 end=0/0 i64=0x0/0x0 f64=0x0000000000000000/0x0000000000000000 ishex=0/0 err=1/1 slen=0/0
OK   nz_xx123 kind=1/1 end=5/5 i64=0x7b/0x7b f64=0x0000000000000000/0x0000000000000000 ishex=0/0 err=0/0 slen=3/3
OK   nz_xx0xff kind=1/1 end=6/6 i64=0xff/0xff f64=0x0000000000000000/0x0000000000000000 ishex=1/1 err=0/0 slen=4/4
OK   nz_xx1_5 kind=2/2 end=5/5 i64=0x0/0x0 f64=0x3ff8000000000000/0x3ff8000000000000 ishex=0/0 err=0/0 slen=3/3
OK   nz_xx_a_ kind=3/3 end=5/5 i64=0x61/0x61 f64=0x0000000000000000/0x0000000000000000 ishex=0/0 err=0/0 slen=1/1
OK   chr_a kind=3/3 end=3/3 i64=0x61/0x61 f64=0x0000000000000000/0x0000000000000000 ishex=0/0 err=0/0 slen=1/1
OK   chr_0 kind=3/3 end=3/3 i64=0x30/0x30 f64=0x0000000000000000/0x0000000000000000 ishex=0/0 err=0/0 slen=1/1
OK   chr_sp kind=3/3 end=3/3 i64=0x20/0x20 f64=0x0000000000000000/0x0000000000000000 ishex=0/0 err=0/0 slen=1/1
OK   chr_tilde kind=3/3 end=3/3 i64=0x7e/0x7e f64=0x0000000000000000/0x0000000000000000 ishex=0/0 err=0/0 slen=1/1
OK   chr_nl kind=3/3 end=4/4 i64=0xa/0xa f64=0x0000000000000000/0x0000000000000000 ishex=0/0 err=0/0 slen=1/1
OK   chr_cr kind=3/3 end=4/4 i64=0xd/0xd f64=0x0000000000000000/0x0000000000000000 ishex=0/0 err=0/0 slen=1/1
OK   chr_tab kind=3/3 end=4/4 i64=0x9/0x9 f64=0x0000000000000000/0x0000000000000000 ishex=0/0 err=0/0 slen=1/1
OK   chr_bsl kind=3/3 end=4/4 i64=0x5c/0x5c f64=0x0000000000000000/0x0000000000000000 ishex=0/0 err=0/0 slen=1/1
OK   chr_sq kind=3/3 end=4/4 i64=0x27/0x27 f64=0x0000000000000000/0x0000000000000000 ishex=0/0 err=0/0 slen=1/1
OK   chr_dq kind=3/3 end=4/4 i64=0x22/0x22 f64=0x0000000000000000/0x0000000000000000 ishex=0/0 err=0/0 slen=1/1
OK   chr_zero kind=3/3 end=4/4 i64=0x0/0x0 f64=0x0000000000000000/0x0000000000000000 ishex=0/0 err=0/0 slen=1/1
OK   chr_dollar kind=3/3 end=4/4 i64=0x24/0x24 f64=0x0000000000000000/0x0000000000000000 ishex=0/0 err=0/0 slen=1/1
OK   chr_x41 kind=3/3 end=6/6 i64=0x41/0x41 f64=0x0000000000000000/0x0000000000000000 ishex=0/0 err=0/0 slen=1/1
OK   chr_xFF kind=3/3 end=6/6 i64=0xff/0xff f64=0x0000000000000000/0x0000000000000000 ishex=0/0 err=0/0 slen=1/1
