src	idx	stem	s0_rc	s1_rc	s2_rc	s3_rc	s0_sha256	s1_sha256	s2_sha256	s3_sha256	class	diff
src/holyc-lib/set.HC	17	set	0	0	0	0	bd5e837d94407aee38f496cec2a4ac6a1761ec278f034223d4cb740d7c8621a8	bd5e837d94407aee38f496cec2a4ac6a1761ec278f034223d4cb740d7c8621a8	bd5e837d94407aee38f496cec2a4ac6a1761ec278f034223d4cb740d7c8621a8	bd5e837d94407aee38f496cec2a4ac6a1761ec278f034223d4cb740d7c8621a8	BYTE_IDENTICAL_4	all-4-byte-identical
src/holyc-lib/sqllite.HC	18	sqllite	0	0	0	0	4dc1cc5cd48eedb6bddcb2ad73a6b6e26d121ee2268b3b019fc75ec4b530b8ea	4dc1cc5cd48eedb6bddcb2ad73a6b6e26d121ee2268b3b019fc75ec4b530b8ea	4dc1cc5cd48eedb6bddcb2ad73a6b6e26d121ee2268b3b019fc75ec4b530b8ea	4dc1cc5cd48eedb6bddcb2ad73a6b6e26d121ee2268b3b019fc75ec4b530b8ea	BYTE_IDENTICAL_4	all-4-byte-identical
src/holyc-lib/stat.HC	19	stat	0	0	0	0	095d35015f62c1a6799f21fadb6a772a7ea7c5cca531fd81b5056f284ddd0926	095d35015f62c1a6799f21fadb6a772a7ea7c5cca531fd81b5056f284ddd0926	095d35015f62c1a6799f21fadb6a772a7ea7c5cca531fd81b5056f284ddd0926	095d35015f62c1a6799f21fadb6a772a7ea7c5cca531fd81b5056f284ddd0926	BYTE_IDENTICAL_4	all-4-byte-identical
src/holyc-lib/strings.HC	20	strings	0	0	0	0	4861dedd37a414d596857516a0193fe4ad5990701a2c36e9644718d86597a325	4861dedd37a414d596857516a0193fe4ad5990701a2c36e9644718d86597a325	4861dedd37a414d596857516a0193fe4ad5990701a2c36e9644718d86597a325	4861dedd37a414d596857516a0193fe4ad5990701a2c36e9644718d86597a325	BYTE_IDENTICAL_4	all-4-byte-identical
src/holyc-lib/system.HC	21	system	0	0	0	0	581115d240e7c6365570777de6ca2d16d3c68a1b5d9879652b533ef1659d4443	581115d240e7c6365570777de6ca2d16d3c68a1b5d9879652b533ef1659d4443	581115d240e7c6365570777de6ca2d16d3c68a1b5d9879652b533ef1659d4443	581115d240e7c6365570777de6ca2d16d3c68a1b5d9879652b533ef1659d4443	BYTE_IDENTICAL_4	all-4-byte-identical
src/holyc-lib/threads.HC	22	threads	0	0	0	0	38030efad11fc811f247e43453c64de680431ee22cc4cba74b0017068652c909	38030efad11fc811f247e43453c64de680431ee22cc4cba74b0017068652c909	38030efad11fc811f247e43453c64de680431ee22cc4cba74b0017068652c909	38030efad11fc811f247e43453c64de680431ee22cc4cba74b0017068652c909	BYTE_IDENTICAL_4	all-4-byte-identical
src/holyc-lib/tooling.HC	23	tooling	0	0	0	0	e59bd907b862ee807705152abc262a7819fbc9768e5344e15adb23db2a126960	e59bd907b862ee807705152abc262a7819fbc9768e5344e15adb23db2a126960	e59bd907b862ee807705152abc262a7819fbc9768e5344e15adb23db2a126960	e59bd907b862ee807705152abc262a7819fbc9768e5344e15adb23db2a126960	BYTE_IDENTICAL_4	all-4-byte-identical
src/holyc-lib/vector.HC	24	vector	0	0	0	0	1dde83ed78a594ef11394cce2480b58c8e68524f2e0c65fb5756823635486b5b	1dde83ed78a594ef11394cce2480b58c8e68524f2e0c65fb5756823635486b5b	1dde83ed78a594ef11394cce2480b58c8e68524f2e0c65fb5756823635486b5b	1dde83ed78a594ef11394cce2480b58c8e68524f2e0c65fb5756823635486b5b	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/01_pointer_simple.HC	25	01_pointer_simple	0	0	0	0	5286862c71a487a56034f0bb1ba89deea3af2b43320c6c44ef3dd5338648667f	5286862c71a487a56034f0bb1ba89deea3af2b43320c6c44ef3dd5338648667f	5286862c71a487a56034f0bb1ba89deea3af2b43320c6c44ef3dd5338648667f	5286862c71a487a56034f0bb1ba89deea3af2b43320c6c44ef3dd5338648667f	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/02_pointer_simple.HC	26	02_pointer_simple	0	0	0	0	1ecb8da85a252e3f0f196587165b20e1471418c6059c855c61a381c123e72121	1ecb8da85a252e3f0f196587165b20e1471418c6059c855c61a381c123e72121	1ecb8da85a252e3f0f196587165b20e1471418c6059c855c61a381c123e72121	1ecb8da85a252e3f0f196587165b20e1471418c6059c855c61a381c123e72121	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/03_malloc_array.HC	27	03_malloc_array	0	0	0	0	ab70d82aaa7054abfd473d646e36b5c7c9771958cc93a797747d119e91c6d045	ab70d82aaa7054abfd473d646e36b5c7c9771958cc93a797747d119e91c6d045	ab70d82aaa7054abfd473d646e36b5c7c9771958cc93a797747d119e91c6d045	ab70d82aaa7054abfd473d646e36b5c7c9771958cc93a797747d119e91c6d045	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/04_ptr_ptr.HC	28	04_ptr_ptr	0	0	0	0	6203b3371338872342a966e7d7dd297bfcea38bd40967661563ab694ee9182d6	6203b3371338872342a966e7d7dd297bfcea38bd40967661563ab694ee9182d6	6203b3371338872342a966e7d7dd297bfcea38bd40967661563ab694ee9182d6	6203b3371338872342a966e7d7dd297bfcea38bd40967661563ab694ee9182d6	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/05_int_ptr.HC	29	05_int_ptr	0	0	0	0	394b134e254f5c56a9a580b48e27a885bcc53377ae43b96d154bde92a2d63767	394b134e254f5c56a9a580b48e27a885bcc53377ae43b96d154bde92a2d63767	394b134e254f5c56a9a580b48e27a885bcc53377ae43b96d154bde92a2d63767	394b134e254f5c56a9a580b48e27a885bcc53377ae43b96d154bde92a2d63767	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/06_class_defs.HC	30	06_class_defs	0	0	0	0	4fde44e65e5b1db04ce5a0e5be664d609d15349f8c4ec14fe175f76389e3b4e1	4fde44e65e5b1db04ce5a0e5be664d609d15349f8c4ec14fe175f76389e3b4e1	4fde44e65e5b1db04ce5a0e5be664d609d15349f8c4ec14fe175f76389e3b4e1	4fde44e65e5b1db04ce5a0e5be664d609d15349f8c4ec14fe175f76389e3b4e1	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/07_recursive_classdef.HC	31	07_recursive_classdef	0	0	0	0	46e5424efb277c34694e28746566f13e53ae2f94027a6c77b4e6e4119cd0fb4d	46e5424efb277c34694e28746566f13e53ae2f94027a6c77b4e6e4119cd0fb4d	46e5424efb277c34694e28746566f13e53ae2f94027a6c77b4e6e4119cd0fb4d	46e5424efb277c34694e28746566f13e53ae2f94027a6c77b4e6e4119cd0fb4d	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/08_break_continue.HC	32	08_break_continue	0	0	0	0	a50f16762bda471f40342081772ded540163e1ed40e2709fdecd133e48424bed	a50f16762bda471f40342081772ded540163e1ed40e2709fdecd133e48424bed	a50f16762bda471f40342081772ded540163e1ed40e2709fdecd133e48424bed	a50f16762bda471f40342081772ded540163e1ed40e2709fdecd133e48424bed	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/09_default_function_parameters.HC	33	09_default_function_parameters	0	0	0	0	6d78001776151dbddd68b11f169f2d923151a82423a25d2858e1abe6661cff66	6d78001776151dbddd68b11f169f2d923151a82423a25d2858e1abe6661cff66	6d78001776151dbddd68b11f169f2d923151a82423a25d2858e1abe6661cff66	6d78001776151dbddd68b11f169f2d923151a82423a25d2858e1abe6661cff66	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/10_qsort.HC	34	10_qsort	0	0	0	0	079418358ab117ec6a66f5a1754c5fda974dffbbd016a7d56c9072d44478e425	079418358ab117ec6a66f5a1754c5fda974dffbbd016a7d56c9072d44478e425	079418358ab117ec6a66f5a1754c5fda974dffbbd016a7d56c9072d44478e425	079418358ab117ec6a66f5a1754c5fda974dffbbd016a7d56c9072d44478e425	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/11_assignment.HC	35	11_assignment	0	0	0	0	c2a720ea9669c29d8a332cad2c753da557d968ef8620acf61504cc9f968eb290	c2a720ea9669c29d8a332cad2c753da557d968ef8620acf61504cc9f968eb290	c2a720ea9669c29d8a332cad2c753da557d968ef8620acf61504cc9f968eb290	c2a720ea9669c29d8a332cad2c753da557d968ef8620acf61504cc9f968eb290	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/12_function_pointer.HC	36	12_function_pointer	0	0	0	0	d966aac66e5b8bd01936a4fa86088b137ad0b632e27d20b1cf3573be9b1c4268	d966aac66e5b8bd01936a4fa86088b137ad0b632e27d20b1cf3573be9b1c4268	d966aac66e5b8bd01936a4fa86088b137ad0b632e27d20b1cf3573be9b1c4268	d966aac66e5b8bd01936a4fa86088b137ad0b632e27d20b1cf3573be9b1c4268	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/13_threads.HC	37	13_threads	0	0	0	0	2dbceb4613027389d6e515eea19473910057da8df8e71b35c11ca9af413fcf56	2dbceb4613027389d6e515eea19473910057da8df8e71b35c11ca9af413fcf56	2dbceb4613027389d6e515eea19473910057da8df8e71b35c11ca9af413fcf56	2dbceb4613027389d6e515eea19473910057da8df8e71b35c11ca9af413fcf56	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/14_maths.HC	38	14_maths	0	0	0	0	edfe01da32b49a29d6d526f86297f0ad74985495d8d52b77d446eb32534d5e87	edfe01da32b49a29d6d526f86297f0ad74985495d8d52b77d446eb32534d5e87	edfe01da32b49a29d6d526f86297f0ad74985495d8d52b77d446eb32534d5e87	edfe01da32b49a29d6d526f86297f0ad74985495d8d52b77d446eb32534d5e87	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/15_mem.HC	39	15_mem	0	0	0	0	8cda95b61317a25d4218da7a62494133d0e94b72d9fb7e8e740a8e9606ebd28e	8cda95b61317a25d4218da7a62494133d0e94b72d9fb7e8e740a8e9606ebd28e	8cda95b61317a25d4218da7a62494133d0e94b72d9fb7e8e740a8e9606ebd28e	8cda95b61317a25d4218da7a62494133d0e94b72d9fb7e8e740a8e9606ebd28e	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/16_types.HC	40	16_types	0	0	0	0	7fff47045040bb0a7c2bacf63d5e56df3081831ed7d601249c73ef2219f38e57	7fff47045040bb0a7c2bacf63d5e56df3081831ed7d601249c73ef2219f38e57	7fff47045040bb0a7c2bacf63d5e56df3081831ed7d601249c73ef2219f38e57	7fff47045040bb0a7c2bacf63d5e56df3081831ed7d601249c73ef2219f38e57	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/17_varargs.HC	41	17_varargs	0	0	0	0	4d680a1b81c57998dac504913e33c131da272a9bb169cd818e8bdf0ec540f8ea	4d680a1b81c57998dac504913e33c131da272a9bb169cd818e8bdf0ec540f8ea	4d680a1b81c57998dac504913e33c131da272a9bb169cd818e8bdf0ec540f8ea	4d680a1b81c57998dac504913e33c131da272a9bb169cd818e8bdf0ec540f8ea	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/18_type_casting.HC	42	18_type_casting	0	0	0	0	bf2cb80e11def4fdb4cbdf052c41de8a2c8d6ad0423eee0a947390bfb2322732	bf2cb80e11def4fdb4cbdf052c41de8a2c8d6ad0423eee0a947390bfb2322732	bf2cb80e11def4fdb4cbdf052c41de8a2c8d6ad0423eee0a947390bfb2322732	bf2cb80e11def4fdb4cbdf052c41de8a2c8d6ad0423eee0a947390bfb2322732	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/19_switch.HC	43	19_switch	0	0	0	0	c76042a212a39dd9ee6bddb75fda4bf49a4d0163d385cfd8ff333e570c408377	c76042a212a39dd9ee6bddb75fda4bf49a4d0163d385cfd8ff333e570c408377	c76042a212a39dd9ee6bddb75fda4bf49a4d0163d385cfd8ff333e570c408377	c76042a212a39dd9ee6bddb75fda4bf49a4d0163d385cfd8ff333e570c408377	BYTE_IDENTICAL_4	all-4-byte-identical
src/tests/20_loops.HC	44	20_loops	0	0	0	0	e0e1f2003c513dd76573605751d3907c692769c0150a5799ce2bbee04e7c5a6c	e0e1f2003c513dd76573605751d3907c692769c0150a5799ce2bbee04e7c5a6c	e0e1f2003c513dd76573605751d3907c692769c0150a5799ce2bbee04e7c5a6c	e0e1f2003c513dd76573605751d3907c692769c0150a5799ce2bbee04e7c5a6c	BYTE_IDENTICAL_4	all-4-byte-identical
